CODICE ISTAT,ALLEANZA VERDI E SINISTRA,ALTERNATIVA POPOLARE,AZIONE - SIAMO EUROPEI,DEMOCRAZIA SOVRANA POPOLARE,FORZA ITALIA - NOI MODERATI - PPE,FRATELLI D'ITALIA,LEGA SALVINI PREMIER,LIBERTA',MOVIMENTO 5 STELLE,PACE TERRA DIGNITA',PARTITO ANIMALISTA - ITALEXIT PER L'ITALIA,PARTITO DEMOCRATICO,RASSEMBLEMENT VALDÔTAIN,STATI UNITI D'EUROPA,SÜDTIROLER VOLKSPARTEI (SVP)
1001,4.94,0.58,3.38,,10.05,34.27,16.64,1.57,7.74,1.81,,16.14,0.16,2.72,
1002,7.1,0.48,1.74,,10.28,30.79,8.6,1.32,12.21,2.35,,21.89,0.18,3.07,
1003,6.77,0.8,1.59,,12.35,34.26,17.53,0.8,6.37,0.4,,15.94,0.4,2.79,
1004,4.46,0.56,2.37,,10.45,41.5,9.19,1.39,5.29,1.67,,20.19,0.14,2.79,
1006,10.69,0.59,3.23,,8.45,26.03,8.88,1.06,12.55,4.16,,20.72,0.25,3.39,
1007,4.83,0.69,4.83,,21.38,25.52,8.97,0.0,6.21,4.14,,20.0,0.0,3.45,
1008,8.37,0.37,3.09,,7.76,27.05,6.86,1.19,11.51,2.91,,26.22,0.13,4.53,
1009,7.42,0.38,4.23,,8.46,34.96,11.0,1.03,10.71,2.26,,16.07,0.38,3.1,
1010,11.5,0.5,2.0,,6.0,36.0,15.5,0.0,5.0,1.5,,18.0,0.0,4.0,
1011,17.78,0.58,2.92,,7.29,18.95,8.45,1.17,7.58,5.83,,26.82,0.29,2.33,
1012,6.31,0.34,1.88,,12.29,34.64,15.87,1.19,8.36,1.71,,14.33,0.17,2.9,
1013,11.16,0.53,3.32,,10.02,24.45,8.27,0.91,10.81,4.17,,22.16,0.23,3.97,
1014,6.58,0.58,3.48,,8.32,33.08,11.61,0.77,6.19,2.32,,24.95,0.39,1.74,
1015,3.56,2.67,1.78,,8.31,41.25,10.98,0.59,6.53,1.78,,18.4,1.19,2.97,
1016,7.81,0.23,3.22,,8.88,33.15,11.26,1.07,11.72,1.45,,17.76,0.0,3.45,
1017,7.8,0.92,1.38,,22.02,33.94,15.14,0.46,4.13,0.46,,11.93,0.0,1.83,
1018,10.14,0.38,5.39,,8.14,27.89,7.87,0.76,5.61,3.24,,24.54,0.16,5.88,
1019,9.38,0.0,3.13,,1.56,40.63,9.38,0.0,7.81,3.13,,15.63,1.56,7.81,
1020,8.12,0.8,2.61,,7.17,27.1,7.39,0.58,9.13,2.75,,30.07,0.58,3.7,
1021,4.83,1.45,3.26,,14.01,39.98,12.32,0.97,4.59,1.57,,14.01,0.24,2.78,
1022,4.69,0.0,2.99,,13.91,39.93,11.01,1.19,6.31,2.47,,13.91,0.43,3.16,
1023,6.25,0.69,3.82,,5.56,25.0,12.15,2.08,8.33,3.82,,26.39,1.04,4.86,
1024,8.7,0.34,2.63,,7.64,24.77,8.46,0.97,13.94,2.5,,26.23,0.13,3.69,
1025,6.97,0.56,3.92,,16.57,31.39,9.85,0.96,7.21,2.0,,17.77,0.16,2.64,
1026,14.8,0.8,3.2,,10.8,21.2,8.0,1.2,4.4,4.0,,28.0,0.0,3.6,
1027,7.44,0.34,2.59,,9.13,33.82,10.6,0.9,6.99,1.8,,22.66,0.34,3.38,
1028,5.89,0.51,2.52,,7.57,32.75,8.49,0.91,12.1,1.99,,23.26,0.24,3.78,
1029,8.63,0.0,1.44,,11.51,37.41,16.19,1.8,7.19,3.96,,11.15,0.36,0.36,
1030,6.55,0.23,2.34,,7.29,34.25,10.09,1.03,6.67,2.79,,24.56,0.51,3.7,
1031,6.14,0.0,2.73,,15.7,31.06,10.58,0.34,7.85,2.39,,22.53,0.0,0.68,
1032,8.74,2.76,2.3,,9.94,25.85,10.95,1.56,16.01,3.04,,16.56,0.18,2.12,
1033,4.49,0.19,2.44,,10.98,35.17,12.9,0.58,9.82,1.8,,18.04,0.26,3.34,
1034,6.68,0.5,2.48,,9.88,28.62,9.11,0.88,11.16,1.35,,26.22,0.43,2.7,
1035,7.35,0.4,3.05,,15.09,32.3,10.58,0.71,8.32,1.73,,17.08,0.27,3.14,
1036,3.78,0.0,1.08,,8.11,37.3,11.89,1.08,3.78,3.24,,27.03,0.54,2.16,
1037,7.12,0.37,4.12,,8.24,32.58,15.73,1.87,7.49,2.25,,18.73,0.0,1.5,
1038,8.79,0.3,2.63,,8.82,30.25,7.67,1.08,10.3,2.35,,23.66,0.16,3.99,
1039,5.56,0.84,2.69,,18.52,27.1,11.95,1.01,8.08,1.68,,19.87,0.34,2.36,
1040,8.49,0.67,2.83,,7.99,28.12,8.15,2.0,14.48,4.99,,18.47,0.67,3.16,
1041,6.29,0.68,2.6,,10.67,37.07,10.12,1.37,7.93,1.5,,16.83,0.14,4.79,
1042,7.65,0.17,3.16,,7.99,32.28,10.98,0.0,3.99,3.83,,25.96,0.0,3.99,
1043,3.96,0.36,1.44,,14.15,36.45,9.35,1.2,9.83,1.32,,18.71,0.36,2.88,
1044,13.99,1.0,2.51,,7.34,24.2,8.39,0.91,14.77,4.65,,19.96,0.18,2.1,
1045,8.27,0.61,2.81,,11.39,29.46,7.19,0.95,10.17,2.17,,22.68,0.31,4.0,
1046,8.77,0.72,3.59,,8.63,34.44,10.21,1.01,9.85,2.01,,17.18,0.36,3.24,
1047,7.19,0.35,3.09,,9.9,30.77,10.25,1.05,7.45,1.8,,23.67,0.44,4.05,
1048,7.32,0.59,4.03,,9.41,31.56,6.85,0.44,8.28,2.01,,25.38,0.04,4.1,
1049,6.5,0.58,2.46,,16.18,33.96,16.18,0.72,6.07,0.58,,13.29,0.14,3.32,
1050,6.17,0.46,2.78,,12.04,37.65,10.49,0.77,7.25,1.23,,17.44,1.08,2.62,
1051,6.81,0.33,4.89,,8.14,27.42,7.21,0.76,10.8,10.1,,20.11,0.2,3.22,
1052,5.44,1.36,2.72,,10.88,35.37,15.65,4.08,14.29,0.68,,8.16,0.0,1.36,
1053,7.93,0.27,3.76,,8.75,31.24,8.34,1.3,9.57,2.94,,20.64,0.34,4.92,
1054,4.4,0.27,2.2,,11.26,30.22,21.7,1.37,6.32,2.47,,14.01,0.0,5.77,
1055,15.02,0.6,1.79,,6.07,26.37,7.56,0.7,12.64,3.58,,22.89,0.2,2.59,
1056,6.02,0.0,2.58,,7.16,37.82,10.6,1.15,5.16,1.15,,24.07,0.0,4.3,
1057,8.86,0.0,2.0,,8.0,39.14,11.43,1.71,4.57,2.0,,15.71,3.14,3.43,
1058,8.83,0.5,2.98,,9.17,32.03,9.67,1.48,7.8,1.55,,22.13,0.18,3.69,
1059,7.4,0.35,3.0,,10.41,31.97,10.36,0.74,8.61,1.78,,21.24,0.13,4.03,
1060,10.57,0.22,2.51,,10.35,23.97,9.37,0.98,5.66,4.03,,29.3,0.44,2.61,
1061,9.46,0.44,4.08,,6.11,24.89,4.66,1.75,6.26,2.33,,35.66,0.15,4.22,
1062,7.81,0.7,2.43,,9.22,31.18,8.0,1.02,12.1,2.69,,21.83,0.19,2.82,
