CODICE ISTAT,+EUROPA,ALLEANZA VERDI E SINISTRA,ALTERNATIVA PER L'ITALIA - NO GREEN PASS,AZIONE - ITALIA VIVA - CALENDA,FORZA DEL POPOLO,FORZA ITALIA,FRATELLI D'ITALIA CON GIORGIA MELONI,FREE,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,ITALEXIT PER L'ITALIA,ITALIA SOVRANA E POPOLARE,LEGA PER SALVINI PREMIER,MASTELLA NOI DI CENTRO EUROPEISTI,MOVIMENTO 5 STELLE,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,PARTITO ANIMALISTA - UCDL - 10 VOLTE MEGLIO,PARTITO COMUNISTA ITALIANO,PARTITO DELLA FOLLIA CREATIVA,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,SUD CHIAMA NORD,SÜDTIROLER VOLKSPARTEI (SVP) - PATT,UNIONE POPOLARE CON DE MAGISTRIS,VITA,TOTALE VOTI LISTE
1001,2.75,2.83,,10.32,,9.57,30.62,,0.33,2.08,2.08,12.15,,9.48,0.75,,,,15.06,,,0.75,1.25,100.0
1002,4.03,3.14,,6.11,,7.77,26.97,,0.41,2.49,1.96,10.31,,15.47,0.24,,,,18.85,,,1.13,1.13,100.0
1003,8.44,2.95,,4.64,,11.39,30.8,,0.84,0.42,1.27,14.35,,7.59,1.69,,,,13.08,,,2.11,0.42,100.0
1004,2.81,2.81,,5.97,,7.61,42.39,,0.47,1.76,1.41,10.3,,6.67,0.12,,,,15.81,,,1.52,0.35,100.0
1006,4.12,5.34,,8.61,,6.02,22.58,,0.27,4.15,2.37,7.83,,14.78,0.45,,,,18.64,,,3.12,1.72,100.0
1007,2.13,21.28,,5.67,,1.42,24.11,,0.0,0.71,4.26,11.35,,5.67,17.02,,,,3.55,,,2.84,0.0,100.0
1008,4.43,3.97,,7.52,,6.48,24.73,,0.37,2.95,2.11,9.23,,14.31,0.46,,,,20.76,,,1.23,1.46,100.0
1009,4.75,5.24,,8.8,,7.62,30.46,,0.4,2.97,1.29,11.57,,10.98,0.49,,,,13.55,,,0.79,1.09,100.0
1010,3.72,5.58,,9.77,,5.58,27.91,,0.47,2.79,3.26,12.56,,6.05,0.0,,,,19.07,,,1.4,1.86,100.0
1011,5.65,11.83,,4.84,,7.26,16.94,,0.54,2.69,2.69,10.22,,7.53,0.0,,,,20.7,,,6.99,2.15,100.0
1012,2.75,5.34,,6.54,,10.15,32.36,,0.69,1.55,1.55,14.29,,7.06,0.34,,,,14.8,,,0.69,1.89,100.0
1013,4.39,5.38,,8.47,,7.18,23.66,,0.62,2.9,2.08,8.51,,12.62,0.74,,,,18.65,,,3.16,1.63,100.0
1014,4.8,3.64,,6.95,,7.12,23.84,,0.33,5.3,3.97,14.57,,8.44,0.33,,,,17.22,,,2.15,1.32,100.0
1015,3.09,2.81,,6.74,,8.71,36.52,,0.56,3.93,0.56,10.39,,6.74,0.56,,,,17.7,,,1.4,0.28,100.0
1016,4.37,3.98,,8.16,,7.51,29.11,,0.13,2.94,1.11,14.36,,9.66,0.72,,,,16.19,,,1.11,0.65,100.0
1017,3.04,3.04,,3.42,,18.25,34.98,,0.0,4.56,0.76,8.75,,6.84,0.38,,,,14.83,,,0.0,1.14,100.0
1018,6.07,6.16,,14.15,,6.94,24.77,,0.28,1.52,1.7,7.17,,8.59,0.74,,,,19.9,,,0.97,1.06,100.0
1019,8.33,6.25,,4.17,,12.5,29.17,,2.08,4.17,2.08,6.25,,8.33,0.0,,,,14.58,,,2.08,0.0,100.0
1020,3.55,5.4,,8.81,,6.01,22.27,,0.89,2.66,2.6,7.24,,11.27,0.27,,,,25.61,,,2.12,1.3,100.0
1021,2.45,2.04,,5.17,,12.24,39.18,,0.27,1.77,0.54,12.24,,4.63,0.41,,,,17.96,,,0.27,0.82,100.0
1022,3.12,2.51,,8.47,,9.89,37.87,,0.07,2.37,2.03,10.5,,6.91,0.61,,,,14.16,,,0.61,0.88,100.0
1023,5.15,3.68,,9.93,,3.31,24.63,,0.0,4.41,0.74,10.29,,6.99,0.0,,,,28.31,,,1.84,0.74,100.0
1024,4.27,3.68,,6.93,,6.58,22.46,,0.57,2.56,1.77,10.07,,16.63,0.29,,,,21.9,,,1.32,0.98,100.0
1025,3.38,3.71,,6.18,,10.79,32.57,,0.39,2.86,1.24,12.16,,9.49,0.2,,,,14.89,,,1.24,0.91,100.0
1026,5.33,7.79,,5.74,,7.38,15.57,,0.41,2.87,1.64,10.25,,6.56,0.82,,,,30.74,,,2.46,2.46,100.0
1027,4.4,3.92,,7.46,,9.67,30.53,,0.1,3.35,1.53,11.2,,8.52,0.38,,,,16.65,,,1.53,0.77,100.0
1028,3.99,3.56,,8.15,,5.79,27.15,,0.6,2.85,1.63,9.58,,15.4,0.37,,,,18.94,,,1.12,0.86,100.0
1029,2.9,5.39,,3.32,,12.45,29.05,,0.41,9.96,1.66,15.35,,7.47,0.0,,,,9.54,,,1.24,1.24,100.0
1030,4.09,3.33,,8.7,,6.6,28.43,,0.76,2.1,1.87,9.57,,8.99,0.99,,,,21.31,,,2.28,0.99,100.0
1031,2.47,1.92,,7.97,,14.01,29.12,,0.27,4.12,2.2,10.99,,6.04,1.65,,,,16.21,,,1.37,1.65,100.0
1032,2.34,3.93,,6.38,,6.27,23.8,,0.21,5.63,2.44,8.08,,19.98,0.96,,,,15.3,,,2.98,1.7,100.0
1033,3.26,2.24,,7.39,,10.38,29.17,,0.88,2.51,1.9,12.75,,11.94,0.27,,,,15.54,,,0.75,1.02,100.0
1034,3.97,3.17,,7.62,,7.37,25.48,,0.36,2.39,1.5,9.48,,14.29,0.39,,,,22.1,,,1.28,0.6,100.0
1035,3.17,4.76,,6.43,,10.79,29.43,,0.57,2.82,1.45,10.22,,10.62,0.35,,,,16.26,,,1.23,1.89,100.0
1036,4.31,1.91,,5.74,,10.53,34.45,,0.0,1.91,0.0,9.57,,5.26,0.48,,,,21.53,,,1.44,2.87,100.0
